Scientific name,Name status,Group,Source database
"Candoscrupocellaria  disconveniens    d'Hondt & Gordon, 1996","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  carbasea    (Ellis & Solander, 1786)","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  curva    (Kluge, 1914)","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  desbruyeresi    d'Hondt & Redier, 1977","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  elegans    Busk, 1852","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  indivisa    Busk, 1852","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  laterogranulata    d'Hondt & Gordon, 1999","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  linguiformis    Harmer, 1926","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  macropora    Hasenbank, 1932","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  mawatari    Gontar, 1993","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  mediocris    Hayward & Cook, 1979","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  meridionalis    Liu, 1982","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  orientalis    Liu, 1982","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  ovoidea    Busk, 1852","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  pisciformis    Busk, 1852","accepted name","Animalia","WoRMS Bryozoa"
"Carbasea  sinica    Liu, 1982","accepted name","Animalia","WoRMS Bryozoa"
"Cardioecia  watersi    (O'Donoghue & de Watteville, 1939)","accepted name","Animalia","WoRMS Bryozoa"
"Catadysis  immersum    (Busk, 1884)","accepted name","Animalia","WoRMS Bryozoa"
"Catadysis  levis    Bock & Cook, 2000","accepted name","Animalia","WoRMS Bryozoa"
"Catadysis  pygmaeum    Moyano, 1985","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  buskii    Wyville Thomson, 1858","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  castanea    Wyville Thomson, 1858","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  constans    (Powell, 1967)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  contei    (Audouin, 1826)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  cylindriformis    (Harmer, 1957)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  dawsoni    Wyville Thomson, 1858","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  delicatula    (Wilson, 1880)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  elegans    Busk, 1852","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  elegans  robusta  (Stach, 1936)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  formosa    Busk, 1852","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  fusca    MacGillivray, 1884","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  gibbosa    Busk, 1852","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  glabrosa    Branch & Hayward, 2005","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  gracilenta    MacGillivray, 1885","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  hannafordi    MacGillivray, 1869","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  imperfecta    (Harmer, 1957)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  longicaudata    (Harmer, 1957)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  marceli    Gluhak, Lewis & Popijak, 2007","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  paradoxa    Rosso, 2009","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  perlucens    (Harmer, 1957)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  pseudoelegans    Gordon, 2009","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  ringens    Busk, 1852","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  tenella    (Harmer, 1957)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  teres    (MacGillivray, 1895)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  triangulifera    (Harmer, 1957)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  tuberculifera    (Harmer, 1957)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  uberrima    (Harmer, 1957)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  utriculus    MacGillivray, 1884","accepted name","Animalia","WoRMS Bryozoa"
"Catenicella  venusta    MacGillivray, 1887","accepted name","Animalia","WoRMS Bryozoa"
"Catenicellopsis  delicatula    (Wilson, 1880)","accepted name","Animalia","WoRMS Bryozoa"
"Catenicula  compacta    O'Donoghue & de Watteville, 1944","accepted name","Animalia","WoRMS Bryozoa"
"Catenicula  corbulifera    O'Donoghue, 1924","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  annulata    (Maplestone, 1879)","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  arcasounensis    De Blauwe, 2005","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  armata    Verrill, 1900","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  aspinosa    Mawatari, 1956","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  binata    Liu, 1985","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  bocki    Silén, 1941","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  caliculata    (Levinsen, 1909)","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  californica    Robertson, 1905","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  ciliata    (Robertson, 1905)","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  ciliatoidea    Liu, 1990","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  dendrograpta    (Waters, 1913)","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  exilis    (MacGillivray, 1890)","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  glabra    (Hincks, 1883)","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  gracilenta    Liu, 1985","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  haddoni    (Kirkpatrick, 1890)","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  hainanica    Liu, 1984","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  hastingsae    Marcus, 1941","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  inermis    Harmer, 1926","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  irregularis    Liu, 1985","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  levinseni    Osburn, 1940","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  longiconica    Liu, 1985","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  longirostrata    Liu, 1985","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  lunga    Tilbrook, 2006","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  mortenseni    (Marcus, 1925)","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  occidentalis    (Robertson, 1905)","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  pearsei    Maturo, 1966","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  separata    Harmer, 1926","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  sinica    Liu, 1985","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  tuberosa    Hastings, 1939","accepted name","Animalia","WoRMS Bryozoa"
"Caulibugula  zanzibariensis    (Waters, 1913)","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  brunea    Canu & Bassler, 1930","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  californiensis    Soule, Soule & Chaney, 1995","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  costatus    Silén, 1941","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  cryptoarmatus    Grischenko, Dick & Mawatari, 2007","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  cymbaeformis    (Hincks, 1877)","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  disjunctus    Canu & Bassler, 1929","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  echinus    (Hincks, 1882)","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  intermedius    Kluge, 1962","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  japonicus    Silén, 1941","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  korensis    Seo, 2001","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  magnus    Dick & Ross, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  multiavicularia    Dick, Grischenko & Mawatari, 2005","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  multispinosus    Grischenko, Dick & Mawatari, 2007","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  niger    Grischenko, Dick & Mawatari, 2007","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  opertus    Canu & Bassler, 1928","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  pseudospinifer    Androsova, 1958","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  spectabilis    Dick & Ross, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  spiniferum    (Johnston, 1832)","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  symetrica    Yang & Lu, 1981","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  tortilis    Dick, Grischenko & Mawatari, 2005","accepted name","Animalia","WoRMS Bryozoa"
"Cauloramphus  variegatus    (Hincks, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Cavaria  praesens    Canu & Bassler, 1930","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  anceps    Harmer, 1926","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  atlantida    Cook, 1967","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  aurorae    Livingstone, 1928","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  australis    MacGillivray, 1880","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  bassleri    Hastings, 1947","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  bicornis    (Busk, 1852)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  clavata    (Busk, 1884)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  complanata    Liu & Hu, 1991","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  cookae    Lopez de la Cuadra & Garcia-Gomez, 1996","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  coronata    (Rogick, 1956)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  coronata    Liu & Hiu, 1991","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  demissa    Moyano, 2000","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  diffusa    Robertson, 1905","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  diversa    Livingstone, 1928","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  elongata    (d'Hondt, 1985) not Canu, 1908","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  elongatoides    Bassler, 1936","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  fistulosa    (Linnaeus, 1758)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  granulata    Canu & Bassler, 1929","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  harmelini    d'Hondt, 1973","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  harmelini  tenuis  d'Hondt, 1974","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  hirsuta    (MacGillivray, 1869)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  humilis    Moyano, 1983","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  immersa    (Tenison-Woods, 1880)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  incula    Hayward & Ryland, 1993","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  japonica    Canu & Bassler, 1929","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  malvinensis    (Busk, 1852)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  mandibulata    Hincks, 1882","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  megalodonta    Hayward & Winston, 2011","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  mitrata    Brown, 1958","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  moniliorata    Rogick, 1956","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  normani    (Hastings, 1947)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  obliquidens    d'Hondt & Gordon, 1999","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  paradoxa    Hayward & Cook, 1979","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  parafistulosa    d'Hondt & Gordon, 1999","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  pilosa    (Kirchenpauer, 1869)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  praelonga    Harmer, 1926","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  punctata    (Busk, 1852)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  rigida    MacGillivray, 1885","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  sagittula    Hayward & Ryland, 1993","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  salicornioides    Lamouroux, 1816","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  scoresbyi    Hastings, 1947","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  sinuosa    (Hassall, 1840)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  sobrinoi    López de la Cuadra & García-Gómez, 2000","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  squamosa    Hastings, 1947","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  tecta    Harmer, 1926","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  tenuirostris    (Busk, 1852)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  triangulata    Canu & Bassler, 1925","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  variabilis    (Busk, 1884)","accepted name","Animalia","WoRMS Bryozoa"
"Cellaria  veleronis    Osburn, 1950","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  angustilaminata    Liu & Hu, 1991","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  anomala    Hayward & Ryland, 1991","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  dubia    Waters, 1904","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  edita    Hayward & Ryland, 1991","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  foveolata    Waters, 1904","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  latilaminata    Moyano, 1974","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  laytoni    Rogick, 1956","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  margueritae    Rogick, 1956","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  njegovanae    Rogick, 1956","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  nodulata    Waters, 1904","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  nutti    Rogick, 1956","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  rogickae    Moyano, 1965","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  rossi    Rogick, 1956","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  stellaepolaris    Moyano & Ristedt, 2000","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  terminata    Hayward & Winston, 1994","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  virgula    Hayward & Ryland, 1991","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  watersi    Calvet, 1909","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinella  weddelli    Moyano & Ristedt, 2000","accepted name","Animalia","WoRMS Bryozoa"
"Cellarinelloides  crassus    Moyano, 1970","accepted name","Animalia","WoRMS Bryozoa"
"Cellepora  adriatica    Hayward & McKinney, 2002","accepted name","Animalia","WoRMS Bryozoa"
"Cellepora  aliena    Moyano, 1991","accepted name","Animalia","WoRMS Bryozoa"
"Cellepora  armiger    O'Donoghue & O'Donoghue, 1923","accepted name","Animalia","WoRMS Bryozoa"
"Cellepora  birostrata    Canu & Bassler, 1928","accepted name","Animalia","WoRMS Bryozoa"
"Cellepora  globosa    Marcus, 1938","accepted name","Animalia","WoRMS Bryozoa"
"Cellepora  posidoniae    (Hayward, 1975)","accepted name","Animalia","WoRMS Bryozoa"
"Cellepora  pumicosa    (Pallas, 1766)","accepted name","Animalia","WoRMS Bryozoa"
"Cellepora  sinensis    Canu & Bassler, 1929","accepted name","Animalia","WoRMS Bryozoa"
"Cellepora  trirostrata    Okada & Mawatari, 1938","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  advena    (Smitt, 1873)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  agglutinans    (Hutton, 1873)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  albirostris    (Smitt, 1873)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  ampliata    (Hutton, 1873)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  aperta    (Hincks, 1882)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  apiculata    (Busk, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  atlantica    (Busk, 1884)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  bicirrhata    (Ortmann, 1890)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  bispinata    (Busk, 1854)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  brunnea    (Hincks, 1884)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  calva    Tilbrook, 2006","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  capensis    (O'Donoghue & de Watteville, 1935)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  carvalhoi    Marcus, 1939","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  columnaris    (Busk, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  compressa    (Canu & Bassler, 1928)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  convexa    (Canu & Bassler, 1929)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  corrugata    (Maplestone, 1909)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  cristata    (Lamarck, 1816)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  cylindrocystis    Tilbrook, 2006","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  decostilsii    (Audouin, 1826)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  desperabilis    Ryland & Hayward, 1992","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  emancipata    Gordon, 1989","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  endivia    (Lamarck, 1816)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  erectorostris    (Canu & Bassler, 1929)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  erugo    Tilbrook, 2006","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  firmispinosa    (Silén, 1954)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  foliata    (MacGillivray, 1888)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  fusca    (Busk, 1854)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  granulosa    (Haswell, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  hancocki    (Osburn, 1952)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  hastigera    (Busk, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  hesperopacifica    Hayward & Ryland, 1995","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  honolulensis    (Busk, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  imbellis    (Busk, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  imberbis    Tilbrook, 2006","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  inaudita    Tilbrook, Hayward & Gordon, 2001","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  indiscreta    Harmer, 1957","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  inflata    (Canu & Bassler, 1929)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  intermedia    (MacGillivray, 1869)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  jacksoniensis    (Busk, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  labelligera    Harmer, 1957","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  macrodon    Gordon, 1993","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  magnifica    (Osburn, 1914)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  magnirostris    (MacGillivray, 1888)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  mamillata    (Busk, 1854)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  mauritiana    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  melanodermorpha    Liu, 2001","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  mordax    (Marcus, 1937)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  multiformatata    Liu, 2001","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  nodulosa    (Busk, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  oculata    (Lamarck, 1816)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  oliva    (Lamarck, 1816)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  paratridenticulata    Liu, 2001","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  peristomata    (Osburn, 1952)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  pigmentaria    (Waters, 1909)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  pigmentaria  albida  (Calvet, 1931)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  pilaefera    (Canu & Bassler, 1929)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  polymorpha    (Busk, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  projecta    (Okada & Mawatari, 1937)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  prolifera    (MacGillivray, 1888)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  protea    Hayward, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  pugioniforme    Tilbrook, 2006","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  pygmaea    (Canu & Bassler, 1929)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  repens    (Canu & Bassler, 1929)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  schubarti    Marcus, 1939","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  serratirostris    (MacGillivray, 1885)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  sherryae    Winston, 2005","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  sibogae    Winston & Heimberg, 1986","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  sicaria    Hayward & Ryland, 1995","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  simplex    (MacGillivray, 1888)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  speciosa    (MacGillivray, 1886)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  spicata    (MacGillivray, 1888)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  subalba    (Canu & Bassler, 1928)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  subflava    (Canu & Bassler, 1929)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  transversa    (Ortmann, 1890)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  triacantha    (Ortmann, 1890)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  triangula    Seo, 1994","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  tridenticulata    (Busk, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  trifurcata    Scholz, 1993","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  trispiculata    d'Hondt, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  trituberculata    (Ortmann, 1890)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  tuberculata    (Busk, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  umbonatoidea    (Liu & Li, 1987)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  vagans    (Busk, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  valligera    Harmer, 1957","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  vermiformis    (Waters, 1909)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  verrucosa    (MacGillivray, 1888)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  volsella    Tilbrook, 2006","accepted name","Animalia","WoRMS Bryozoa"
"Celleporaria  wayakamensis    (Okada & Mawatari, 1938)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  alia    Hayward, 1993","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  angusta    Álvarez, 1991","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  annularis    (Pallas, 1766)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  carolinensis    Ryland, 1979","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  catenifera    Norman, 1894","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  chilina    (d'Orbigny, 1842)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  concava    (Viviani, 1977)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  cornuta    (Busk, 1854)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  hyalina    (Linnaeus, 1767)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  hyalina  marcusi  (Morris, 1980)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  marionensis    Branch & Hayward, 2005","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  nodasakae    Dick, Grischenko & Mawatari, 2005","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  reflexa    Dick & Ross, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  retiformis    Moyano, 1987","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  tehuelcha    Lopez Gappa, 1985","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  tuberculata    (Hincks, 1880)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporella  uberrima    Moyano, 1987","accepted name","Animalia","WoRMS Bryozoa"
"Celleporina  aspera    Dick & Ross, 1988","accepted name","Animalia","WoRMS Bryozoa"
"Celleporina  asymmetrica    Moyano, 1985","accepted name","Animalia","WoRMS Bryozoa"
"Celleporina  avicularia    Hayami, 1973","accepted name","Animalia","WoRMS Bryozoa"
"Celleporina  avicularidentata    Gluhak, Lewis & Popijak, 2007","accepted name","Animalia","WoRMS Bryozoa"
"Celleporina  bellatula    Hayward & Ryland, 1995","accepted name","Animalia","WoRMS Bryozoa"
"Celleporina  bicostata    Hayward, 1980","accepted name","Animalia","WoRMS Bryozoa"
"Celleporina  bidenticulata    (Busk, 1881)","accepted name","Animalia","WoRMS Bryozoa"
"Celleporina  bilabiata    (Busk, 1852)","accepted name","Animalia","WoRMS Bryozoa"
